source,target,weight_t0,weight_t1,weight_t2,weight_t3,weight_t4,weight_t5
46,28,1,0,0,0,0,0
46,32,1,1,1,1,1,1
46,35,1,1,1,1,0,0
46,76,0,0,0,1,0,0
47,6,0,0,0,1,1,0
47,14,0,0,0,0,0,1
47,17,1,1,1,1,1,0
47,21,0,0,1,1,1,1
47,26,1,1,1,1,1,1
47,35,0,0,0,1,1,1
47,37,1,1,1,0,0,1
47,45,1,1,0,0,0,0
48,3,1,1,0,0,0,0
48,10,1,1,0,0,0,0
48,14,1,1,1,1,0,0
48,28,1,1,1,1,1,1
48,33,0,0,0,1,1,1
48,39,1,1,1,1,1,1
48,41,1,1,1,1,1,0
48,49,1,1,1,1,0,0
49,16,1,1,1,1,0,0
49,22,0,0,1,1,1,1
49,27,1,1,1,1,1,0
49,40,0,0,1,1,1,0
49,45,1,1,0,0,0,0
49,85,1,0,0,0,0,0
50,35,1,1,1,1,1,1
50,53,0,0,0,1,1,0
50,55,1,1,1,0,0,0
50,58,1,1,1,0,0,0
50,71,0,0,1,1,0,0
50,76,1,1,1,1,1,1
50,78,1,1,0,0,0,0
50,82,1,1,1,1,1,0
50,87,0,0,1,1,1,1
51,55,1,1,1,0,0,0
51,58,0,0,0,0,1,1
51,59,0,0,0,0,1,1
51,61,1,1,1,1,0,0
51,77,0,0,0,0,0,1
51,83,1,1,1,1,1,1
51,97,1,1,1,1,1,1
52,81,0,0,0,0,1,1
53,52,1,1,1,1,1,1
53,55,1,1,1,1,1,0
53,59,1,1,1,1,1,1
53,65,0,0,0,1,1,1
53,79,0,0,0,0,1,1
53,81,1,1,0,0,0,0
53,91,0,0,0,1,0,0
53,95,1,1,1,1,1,1
54,23,1,0,0,0,0,0
54,50,1,1,0,0,0,0
54,79,1,0,0,0,0,0
54,84,1,1,1,1,1,1
54,95,1,0,0,0,0,0
55,41,1,0,0,0,0,0
55,61,1,1,0,0,0,0
55,67,0,0,0,0,1,1
55,71,1,1,0,0,0,0
55,84,1,1,1,0,0,0
55,86,1,1,1,0,0,0
55,88,1,1,1,1,1,1
56,51,0,0,0,0,1,0
56,57,0,0,0,0,0,1
56,67,1,1,1,1,1,1
56,68,0,0,1,1,1,1
56,70,0,0,0,0,0,1
56,82,1,1,1,0,0,0
57,6,1,0,0,1,1,1
57,53,1,1,0,0,0,0
57,55,1,1,1,1,1,1
57,59,1,1,0,0,0,0
57,67,0,0,0,0,1,1
57,81,0,1,1,1,1,0
57,83,1,1,1,0,0,0
57,91,1,0,0,0,0,0
58,11,0,1,1,1,1,1
58,20,1,1,1,1,1,1
58,30,0,0,0,1,1,0
58,75,0,0,0,0,0,1
58,78,1,1,1,1,0,0
58,87,1,1,1,1,1,1
58,89,1,1,1,1,1,0
58,91,1,0,0,0,0,0
59,71,1,0,0,0,0,0
59,77,1,1,0,0,0,0
59,90,1,1,1,0,0,0
59,94,0,0,0,0,0,1
60,57,0,1,1,1,1,1
60,65,0,0,0,0,0,1
60,72,0,0,0,0,0,1
60,73,0,0,1,0,0,0
60,77,1,1,1,1,1,1
60,85,0,0,0,0,1,1
60,86,0,0,0,0,0,1
60,89,0,0,0,0,1,1
61,67,1,1,1,0,1,1
61,72,1,1,1,1,0,0
61,76,0,0,0,0,0,1
61,79,0,1,1,1,0,0
61,81,1,1,0,0,0,0
61,82,1,1,1,0,0,1
61,86,0,0,1,1,0,0
61,89,1,1,0,0,0,0
61,90,1,1,1,1,1,1
61,92,1,1,1,0,0,0
62,5,1,1,1,1,1,0
62,51,0,0,1,0,0,0
62,78,0,0,0,1,1,1
62,83,0,0,0,0,0,1
62,86,1,1,1,1,1,0
62,87,1,1,1,1,0,0
62,93,0,0,1,1,1,1
62,97,1,1,0,0,0,0
63,57,1,1,1,0,0,0
63,58,0,1,1,1,1,1
63,60,1,1,1,0,0,0
63,65,1,0,0,0,0,0
63,81,1,1,0,0,0,0
63,84,1,0,0,0,0,0
63,86,0,1,1,1,1,1
63,91,0,0,1,1,1,1
64,29,1,1,1,0,0,1
64,56,1,1,1,1,1,1
64,61,0,0,0,1,1,1
64,67,1,1,0,0,0,0
64,76,0,0,0,0,1,1
64,81,0,0,1,1,1,1
64,93,1,1,1,1,1,1
64,95,0,0,0,0,1,1
65,73,0,0,0,0,0,1
65,95,1,1,1,1,1,1
65,98,1,1,1,1,1,1
66,55,0,0,0,0,1,1
66,57,0,0,0,0,1,1
66,65,1,1,1,1,1,1
66,73,1,1,1,1,1,0
66,86,0,0,0,1,1,1
66,94,0,0,1,0,0,0
67,12,1,1,0,0,0,0
67,50,0,1,1,1,1,1
67,53,0,0,1,0,0,0
67,82,1,1,1,1,0,0
68,0,1,1,1,0,0,0
68,36,1,1,1,0,0,0
68,51,0,0,1,1,1,1
68,59,1,1,1,1,0,0
68,61,1,1,1,1,1,1
68,78,1,0,0,0,0,0
68,95,0,1,1,1,1,1
69,38,1,1,1,0,1,1
69,53,1,0,0,0,0,0
69,63,1,1,1,1,1,1
69,79,1,1,1,0,0,0
69,99,1,1,1,1,1,1
70,22,0,0,0,0,0,1
70,61,0,0,0,0,0,1
70,68,0,1,1,1,1,1
70,90,0,0,1,1,1,0
71,59,1,1,1,1,1,1
71,63,1,1,1,1,1,1
71,66,1,0,0,0,0,0
71,89,1,1,1,0,0,0
72,53,1,1,1,1,1,1
72,60,1,0,0,0,0,0
72,80,1,1,1,1,1,1
72,88,1,1,1,1,1,1
73,52,0,0,1,1,1,1
73,83,0,0,1,0,0,0
73,92,0,1,1,1,1,1
73,94,0,0,0,1,1,1
74,39,1,1,1,1,1,1
74,68,0,1,1,1,1,1
74,83,0,0,1,1,1,0
74,90,0,0,0,0,0,1
74,91,1,1,1,1,1,1
75,30,0,0,1,1,1,1
75,59,0,0,0,0,0,1
75,60,1,1,1,1,0,0
75,68,1,1,0,0,0,0
75,69,1,1,0,0,0,0
75,72,1,1,0,0,0,0
75,89,0,1,1,1,1,1
76,12,1,1,1,0,0,0
76,46,0,0,1,1,1,0
76,56,1,1,1,0,0,0
76,58,1,1,1,0,0,0
76,64,0,0,1,0,0,0
76,70,0,1,1,0,0,0
76,71,1,1,1,0,0,0
76,73,0,0,0,0,0,1
76,92,1,1,1,1,1,1
77,51,0,0,1,1,1,0
77,53,1,1,0,0,0,0
77,70,0,0,0,1,1,0
77,73,0,0,0,0,1,0
77,81,1,1,0,0,0,0
77,83,0,0,1,1,1,1
77,85,0,0,0,0,0,1
77,93,0,0,0,0,1,1
78,50,0,0,0,0,0,1
78,56,0,0,0,1,1,1
78,64,0,0,1,1,1,1
78,67,1,1,1,1,1,0
78,69,1,1,1,1,1,1
78,72,0,0,0,0,0,1
78,76,0,1,1,1,1,1
78,89,0,0,0,0,1,1
78,94,0,1,1,1,1,0
79,68,1,1,0,0,0,0
79,94,0,0,1,0,0,0
79,97,0,0,1,1,0,0
79,98,1,1,1,1,1,1
80,52,1,1,0,0,0,0
80,63,1,1,1,1,0,0
80,79,1,0,0,0,0,0
80,87,0,0,0,1,1,1
80,98,0,0,0,0,0,1
81,52,1,0,0,0,0,0
81,56,1,1,1,1,1,1
81,58,0,0,0,0,0,1
81,69,0,0,1,1,1,1
81,72,0,1,1,1,1,1
81,76,0,0,1,1,1,1
81,80,0,0,1,0,0,0
81,87,1,1,1,1,1,1
81,92,1,1,1,0,0,0
82,13,1,0,0,0,0,0
82,50,1,1,0,0,0,0
82,79,1,1,1,1,0,0
82,81,1,1,1,1,1,1
83,7,1,1,1,1,1,0
83,57,0,0,0,0,1,1
83,68,0,0,0,1,1,1
83,75,0,1,1,1,0,0
83,94,0,1,1,1,1,1
84,53,0,0,0,1,1,0
84,65,0,0,0,0,0,1
84,72,0,0,0,0,1,1
84,77,0,0,0,0,0,1
84,83,1,1,0,0,0,0
84,87,1,1,1,1,1,1
84,91,1,1,1,1,1,1
85,25,1,1,1,1,1,1
85,49,1,1,1,1,1,1
85,64,0,0,0,0,1,1
85,76,1,0,0,0,0,0
85,81,0,0,1,1,1,1
85,94,1,1,1,1,0,0
86,53,0,0,0,1,1,1
86,65,0,0,0,0,0,1
86,77,1,0,0,0,0,0
86,87,0,0,0,0,1,1
86,98,0,0,0,0,0,1
87,43,0,0,0,1,1,1
87,53,0,0,1,1,1,1
87,54,1,0,0,0,0,0
87,77,0,0,1,0,0,0
87,79,1,1,0,0,0,0
87,80,0,0,0,1,1,0
87,81,0,1,1,1,1,1
87,82,0,1,1,0,0,0
87,91,1,1,1,1,1,1
87,97,0,0,0,1,0,0
88,55,0,1,1,1,1,1
88,60,0,1,1,0,0,0
88,61,0,0,0,1,1,1
88,65,0,0,0,1,1,1
88,74,1,1,1,1,0,0
88,95,1,0,0,0,0,0
88,96,1,1,1,1,1,0
89,11,1,1,0,0,0,0
89,54,0,0,0,1,1,0
89,76,0,1,1,1,1,1
89,87,1,0,0,0,0,0
89,97,0,1,1,1,0,0
90,7,1,1,0,1,1,1
90,21,0,0,0,0,0,1
90,51,1,1,1,1,1,1
90,52,1,1,1,1,1,1
90,55,0,0,1,1,1,1
90,63,0,0,0,0,1,1
90,80,0,0,1,1,1,0
90,86,0,0,0,0,1,1
91,40,1,1,0,0,0,0
91,54,0,0,0,0,0,1
91,56,0,0,0,0,0,1
91,63,0,1,1,0,0,0
91,67,1,1,1,1,1,1
91,70,0,0,0,0,1,1
91,80,1,1,1,0,0,0
91,82,1,0,0,0,0,0
91,89,0,0,1,1,1,1
91,90,0,0,0,0,0,1
91,92,0,0,0,0,1,0
92,58,0,0,0,0,1,1
92,62,1,1,0,0,0,0
92,74,0,0,0,0,1,0
92,83,1,1,1,1,1,1
93,58,1,0,0,0,0,0
93,62,1,0,0,0,0,0
93,72,0,0,0,0,1,0
93,73,1,1,1,0,0,0
93,91,1,1,0,0,0,0
93,99,1,1,1,1,1,1
94,6,1,1,1,1,1,1
94,51,1,1,1,1,1,1
94,64,0,1,1,0,0,0
94,68,0,0,0,0,1,1
94,70,1,1,0,0,0,0
94,77,0,0,1,1,1,1
94,85,1,1,1,1,1,1
94,90,0,1,1,1,1,1
94,93,1,1,0,0,0,0
94,96,0,0,0,0,0,1
95,28,0,0,1,1,1,1
95,58,1,1,1,1,1,1
95,59,0,1,1,1,1,1
95,69,1,1,1,1,1,1
96,70,0,0,0,1,0,0
96,73,0,1,1,0,0,0
96,77,0,1,1,0,0,0
96,79,0,0,1,1,1,1
96,84,0,0,0,0,0,1
96,98,0,0,0,0,1,1
97,52,1,1,0,0,0,0
97,53,0,0,0,0,1,1
97,55,1,1,1,0,0,0
97,60,1,1,1,0,0,0
97,77,1,1,1,1,1,1
97,94,0,0,0,0,0,1
98,62,1,1,1,1,1,1
98,64,0,0,0,0,0,1
98,72,1,0,0,0,0,0
98,82,1,1,1,0,0,0
98,83,0,0,0,0,0,1
99,52,0,1,1,1,1,1
99,54,1,1,1,0,0,0
99,56,0,0,0,0,0,1
99,59,0,0,0,0,1,1
99,88,0,0,1,1,1,1
99,96,0,0,0,0,0,1
