AC_Ajaccio Marítimo
Blackpool SC_Olhanense
Boavista EA_Guingamp
Boavista Preston
Bolton Getafe
Borussia_Dortmund Empoli_FC
Borussia_Dortmund Estoril_Praia
Brentford Recreativo_Huelva
Brentford SPAL
Brescia Alania
Brescia FC_Crotone
Brighton Carpi_FC_1909
Brighton Wolfsburg
Bristol_City Angers_SCO
Bristol_City Hércules_CF
Bristol_City Luton_Town
Bristol_City RW_Darmstadt
Burnley Athletic
Burnley Werder_Bremen
CD_Feirense Dijon_FCO
CD_Feirense Nottingham_Forest
CD_Leganés RC_Lens
CD_Málaga FK_Tambov
CD_Málaga Greuther_Fürth
CD_Tondela CD_Málaga
CD_Tondela Hamburger_SV
CD_Tondela SC_Lyon
CD_Tondela Wigan
CSKA_Moscow FC_Grenoble_JI
CSKA_Moscow SC_Feyenoord
Cagliari_Calcio Montpellier
Cagliari_Calcio R._Strasbourg
Cardiff FK_Rostov
Cardiff Uralmash
Cardiff Wolfsburg
Carpi_FC_1909 Recreativo_Huelva
Celta_de_Vigo AJ_Auxerre
Celta_de_Vigo Southampton
Charlton Cagliari_Calcio
Charlton E._Frankfurt
Charlton Swansea_City
Chaves FC_Crotone
Chaves Nîmes_Olympique
Chaves Real_Zaragoza
Chelsea RCD_Mallorca
Chievo_Verona LOSC_Lille
Chievo_Verona US_Valenciennes
Coventry Dynamo_Moscow
Coventry Montpellier
Coventry NEC_Nijmegen
Crystal_Palace CD_Santa_Clara
Crystal_Palace Estoril_Praia
Crystal_Palace FK_Tambov
De_Graafschap West_Ham
Dep._La_Coruña Everton
Dep._La_Coruña Greuther_Fürth
Dep._La_Coruña Portsmouth
Dijon_FCO AS_Nancy
Dijon_FCO CSKA_Moscow
Din._Krasnodar Rotherham
Doncaster_Rovers Dep._La_Coruña
Dynamo_Moscow Dynamo_Moscow
Dynamo_Moscow Stuttgart
E._Braunschweig Getafe
EA_Guingamp Académica_Coimbra
EA_Guingamp Akhmat_Grozny
EA_Guingamp Huddersfield_Town
Elche_CF FC_Köln
Elche_CF Middlesbrough_FC
Emmen Birmingham
Emmen Stade_Reims
Emmen US_Boulogne
Emmen VfL_Bochum
Empoli_FC Emmen
Espanyol Bayern_Munich
Espanyol Reading_FC
Estoril_Praia Getafe
Everton CD_Santa_Clara
Excelsior Dynamo_Moscow
Excelsior FC_Nuremberg
Excelsior Hull_City
Excelsior Levante_UD
F._Düsseldorf Rayo_Vallecano
FC_Augsburg Aston_Villa
FC_Augsburg Lokomotiv_Moscow
FC_Crotone FC_Nantes
FC_Crotone SC_Heerenveen
FC_Grenoble_JI FC_Paços_de_Ferreira
FC_Groningen Brighton
FC_Groningen De_Graafschap
FC_Groningen FK_Tambov
FC_Ingolstadt FSV_Mainz
FC_Ingolstadt LOSC_Lille
FC_Lorient FC_Évian_Thonon_Gaillard
FC_Lorient Hamburger_SV
FC_Lorient Newcastle
FC_Metz RB_Leipzig
FC_Nantes AS_Roma
FC_Nantes Blackpool
FC_Nantes Preston
FC_Paços_de_Ferreira Scunthorpe_United
FC_Paços_de_Ferreira Stuttgart
FC_Penafiel F._Düsseldorf
FC_Penafiel Torino_FC
FC_Porto Parma
FC_Schalke_04 Celta_de_Vigo
FC_Sochi Almería_CF
FC_Sochi FC_Ingolstadt
FC_Sochi Stoke_City
FC_Tosno Stade_Reims
FC_Toulouse FC_Tosno
FC_Toulouse Granada_CF
FC_Twente FSV_Mainz
FC_Union_Berlin Portsmouth
FC_Utrecht AS_Saint-Étienne
FC_Utrecht FC_Volendam
FC_Utrecht Portimonense
FC_Utrecht Wolves_FC
FC_Zwolle E._Frankfurt
FC_Évian_Thonon_Gaillard US_Lecce
FK_Rostov CD_Nacional
FK_Rostov Excelsior
FK_Tambov FC_Nuremberg
FK_Ufa AC_Ajaccio
FK_Ufa Stuttgart
FSV_Mainz Alavés
FSV_Mainz Atalanta
Fulham FC_Zwolle
Fulham RW_Darmstadt
Genoa Las_Palmas_Atl.
Getafe Birmingham
Getafe Empoli_FC
Getafe Girona
Getafe Leicester
Getafe Naval
Getafe UC_Sampdoria
Gil_Vicente_FC Elche_CF
Gil_Vicente_FC Leixões_SC
Gil_Vicente_FC SC_Lyon
Girona Almería_CF
Go_Ahead_Eagles Dijon_FCO
Go_Ahead_Eagles EA_Guingamp
Go_Ahead_Eagles FC_Crotone
Granada_CF Bristol_City
Granada_CF Spartak_Nalchik
Greuther_Fürth VfL_Bochum
Hamburger_SV Amkar_II
Hannover_96 Vitória_Guimarães_SC
Hellas_Verona Hull_City
Heracles_Almelo RC_Lens
Hertha_BSC FC_Groningen
Hull_City Estoril_Praia
Idel_Kazan Almería_CF
Ipswich_Town Chelsea
Juventus CA_Bastia
KS_Samara CA_Osasuna
Kuban_Krasnodar Bayern_Munich
LFK_Sibir EA_Guingamp
LFK_Sibir Werder_Bremen
LOSC_Lille Greuther_Fürth
LOSC_Lille Tom_Tomsk
LOSC_Lille Vitória_Guimarães_SC
LOSC_Lille Wolves_FC
Le_Mans_FC E._Braunschweig
Le_Mans_FC Heracles_Almelo
Le_Mans_FC Scunthorpe_United
Leeds AS_Monaco
Leeds FK_Tambov
Leicester AC_Siena
Leixões_SC UC_Sampdoria
Levante_UD ADO_Den_Haag
Levante_UD FC_Crotone
Levante_UD Genoa
Levante_UD Leixões_SC
Liverpool FC_Nuremberg
Liverpool RCD_Mallorca
Lokomotiv_Moscow Greuther_Fürth
Lokomotiv_Moscow US_Boulogne
Luton_Town Brescia
Luton_Town SC_Paderborn
Luton_Town Watford_FC
Manchester_City AC_Ajaccio
Marseille AC_Ajaccio
Marseille Valencia
Marseille Vitória_Setúbal_FC
Marítimo Cagliari_Calcio
Marítimo Hércules_CF
Middlesbrough_FC AS_Livorno
Middlesbrough_FC CD_Feirense
Middlesbrough_FC NAC_Breda
Millwall Espanyol
Millwall Rotherham
Montpellier Rio_Ave_FC
Montpellier SC_Freiburg
Moreirense_FC Real_Madrid
Moreirense_FC Saturn
NEC_Nijmegen AS_Livorno
NEC_Nijmegen CD_Nacional
NEC_Nijmegen Roda_JC
NEC_Nijmegen US_Lecce
Napoli Brighton
Napoli E._Braunschweig
Napoli FC_Utrecht
Napoli Moreirense_FC
Napoli SM_Caen
Naval Bologna
Naval FC_Ingolstadt
Naval Reading_FC
Newcastle CD_Leganés
Norwich Fulham
Nottingham_Forest Dynamo_Moscow
Nottingham_Forest Idel_Kazan
Nottingham_Forest Rennes
Nîmes_Olympique Bayern_Munich
Nîmes_Olympique NEC_Nijmegen
Nîmes_Olympique Spartak_Moscow
Nîmes_Olympique UC_Sampdoria
OGC_Nice FC_Sochi
OGC_Nice Huddersfield_Town
OGC_Nice Recreativo_Huelva
OGC_Nice Sporting_Gijón
PSG Swansea_City
Parma CD_Nacional
Parma Sparta_Rotterdam
Plymouth FC_Metz
Portimonense SC_Cambuur_Leeuwarden
Portsmouth CA_Osasuna
Preston AS_Bari
Preston FC_Köln
Preston Real_Betis
QPR AS_Bari
QPR CD_Santa_Clara
QPR FC_Eindhoven
QPR RC_Lens
R._Strasbourg Naval
R._Strasbourg RB_Leipzig
R._Strasbourg SD_Eibar
RB_Leipzig Alavés
RB_Leipzig FC_Lorient
RB_Leipzig Hamburger_SV
RB_Leipzig Spartak_Nalchik
RCD_Mallorca Stoke_City
RCD_Mallorca US_Palermo
RC_Lens Getafe
RC_Lens Hellas_Verona
RC_Lens NEC_Nijmegen
RC_Lens Plymouth
RW_Darmstadt Beira-Mar
Rayo_Vallecano AJ_Auxerre
Rayo_Vallecano Amkar_II
Rayo_Vallecano E._Braunschweig
Rayo_Vallecano FC_Sochi
Rayo_Vallecano SC_Cambuur_Leeuwarden
Rayo_Vallecano Stade_Reims
Reading_FC E._Frankfurt
Reading_FC KS_Samara
Real_Betis FC_Augsburg
Real_Betis LFK_Sibir
Real_Madrid FC_Sochi
Real_Madrid FK_Rostov
Real_Madrid Leicester
Real_Madrid Sporting
Real_Valladolid_CF Arouca
Real_Valladolid_CF Coventry
Real_Valladolid_CF LFK_Sibir
Real_Valladolid_CF Levante_UD
Real_Valladolid_CF Moreirense_FC
Real_Valladolid_CF SPAL
Real_Valladolid_CF US_Palermo
Recreativo_Huelva CD_Santa_Clara
Recreativo_Huelva SM_Caen
Recreativo_Huelva UC_Sampdoria
Rennes Arsenal_Tula
Rennes Swansea_City
Rennes Vitória_Setúbal_FC
Rio_Ave_FC Borussia_Dortmund
Roda_JC Newcastle
SC_Braga Borussia_Dortmund
SC_Braga RW_Darmstadt
SC_Braga TSG_Hoffenheim
SC_Cambuur_Leeuwarden FSV_Mainz
SC_Cambuur_Leeuwarden Vitesse
SC_Feyenoord Chelsea
SC_Feyenoord FC_Évian_Thonon_Gaillard
SC_Feyenoord Marseille
SC_Freiburg Atlético_Madrid
SC_Freiburg VfL_Bochum
SC_Heerenveen Getafe
SC_Olhanense Las_Palmas_Atl.
SC_Olhanense Sporting_Gijón
SC_Paderborn Almería_CF
SC_Paderborn E._Frankfurt
SC_Paderborn St._Petersburg
SD_Eibar Manchester_City
SS_Lazio FC_Toulouse
SS_Lazio Moreirense_FC
SS_Lazio Uralmash
Saturn CA_Osasuna
Saturn FC_Girondins_Bordeaux
Saturn Hamburger_SV
Saturn Portsmouth
Saturn SC_Braga
Scunthorpe_United Cagliari_Calcio
Scunthorpe_United E._Frankfurt
Scunthorpe_United Plymouth
Scunthorpe_United SD_Eibar
Sevilla_FC Nîmes_Olympique
Sheff_Utd CA_Bastia
Southampton AS_Nancy
Sparta_Rotterdam FC_Tosno
Sparta_Rotterdam SC_Freiburg
Spartak_Moscow Celta_de_Vigo
Spartak_Moscow R._Strasbourg
Spartak_Moscow Roda_JC
Spartak_Nalchik AS_Bari
Spartak_Nalchik Espanyol
Spartak_Nalchik Lokomotiv_Moscow
Sporting CD_Feirense
Sporting_Gijón Carpi_FC_1909
Stade_Reims AJ_Auxerre
Stade_Reims Bayern_Munich
Stade_Reims CSKA_Moscow
Stade_Reims FC_Évian_Thonon_Gaillard
Stade_Reims VVV-Venlo
Stoke_City FC_Lorient
Stoke_City OGC_Nice
Stoke_City Real_Betis
Stuttgart Catania
Stuttgart Estoril_Praia
Swansea_City Bayern_Munich
Swansea_City Blackburn
TSG_Hoffenheim E._Braunschweig
TSG_Hoffenheim FC_Nantes
TSG_Hoffenheim FK_Rostov
TSG_Hoffenheim Le_Mans_FC
TSG_Hoffenheim Nottingham_Forest
Tom_Tomsk Burnley
Tom_Tomsk RB_Leipzig
Torino_FC AC_Cesena
Torino_FC Bolton
Torino_FC Sheff_Utd
Torpedo-Metallurg_Moscow FC_Utrecht
Torpedo-Metallurg_Moscow Stade_Reims
Tottenham FK_Ufa
Tottenham US_Valenciennes
UC_Sampdoria Amkar_II
UC_Sampdoria Athletic
UC_Sampdoria Belenenses
UC_Sampdoria Greuther_Fürth
UC_Sampdoria Le_Mans_FC
US_Boulogne Aston_Villa
US_Boulogne St._Petersburg
US_Lecce AZ_Alkmaar
US_Lecce Belenenses
US_Lecce Leixões_SC
US_Lecce Watford_FC
US_Palermo Chelsea
US_Palermo FC_Sochi
US_Palermo Sporting_Gijón
US_Palermo Stuttgart
US_Sassuolo Alania
US_Sassuolo CSKA_Moscow
US_Sassuolo Real_Valladolid_CF
US_Sassuolo Real_Zaragoza
US_Valenciennes Belenenses
US_Valenciennes Southampton
Udinese_Calcio Charlton
Udinese_Calcio FC_Union_Berlin
Udinese_Calcio VfL_Bochum
União_de_Leiria Newcastle
Uralmash FC_Porto
Uralmash Stoke_City
Uralmash US_Palermo
Uralmash Valencia
VVV-Venlo Hellas_Verona
Valencia CD_Leganés
Valencia Torpedo-Metallurg_Moscow
VfL_Bochum Hull_City
Villarreal_CF AC_Le_Havre
Vitesse Din._Krasnodar
Vitesse Empoli_FC
Vitória_Guimarães_SC FC_Volendam
Vitória_Guimarães_SC Lokomotiv_Moscow
Vitória_Setúbal_FC Marseille
Werder_Bremen Rio_Ave_FC
West_Brom FC_Crotone
West_Ham Barcelona
West_Ham Din._Krasnodar
Willem_II AS_Nancy
Willem_II Crystal_Palace
Willem_II Estoril_Praia
Willem_II FC_Grenoble_JI
Willem_II Juventus
Wolfsburg Aston_Villa
Wolfsburg FC_Volendam
